PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
13.17,10.11,5.13,0.134,50.69,23.98,60.93,9.37,7.35
153.01,73.48,31.88,3.691,98.59,29.97,54.72,4.81,109.25
103.96,51.3,23.04,2.378,72.6,25.76,56.06,6.91,72.53
223.24,113.86,49.94,5.103,114.27,40.45,46.12,2.9,155.65
63.65,32.25,15.21,1.398,76.48,27.73,58.44,5.34,30.75
58.36,27.6,11.21,1.208,84.97,26.32,62.22,8.93,27.29
207.23,100.52,48.78,4.708,115.4,32.22,38.49,4.14,117.73
116.78,47.54,24.88,2.558,80.38,24.27,54.41,6.38,48.55
11.66,10.22,7.01,0.539,72.31,14.94,49.53,8.18,6.0
131.5,54.64,29.52,3.039,87.59,26.71,48.56,5.87,57.13
34.4,27.86,13.16,0.857,77.1,22.22,53.81,7.62,24.63
214.05,90.47,43.55,4.516,94.85,39.86,48.13,2.04,151.35
8.66,3.13,4.47,0.097,60.66,20.02,69.93,9.62,6.39
127.18,59.71,30.98,2.715,85.25,32.97,50.28,5.32,71.59
145.11,67.24,31.88,3.03,94.7,23.29,53.11,3.61,91.52
185.98,88.69,39.0,4.177,103.93,28.6,30.64,4.05,110.36
183.47,85.29,43.9,4.328,106.03,29.34,48.0,3.12,110.04
5.0,10.86,5.79,0.12,63.76,19.62,57.4,9.21,3.74
173.76,83.48,37.76,3.596,95.75,30.32,42.78,4.41,109.41
163.33,72.23,40.13,3.764,99.24,33.65,38.35,3.71,84.65
173.23,91.5,39.39,3.809,85.83,33.68,55.5,5.02,110.81
242.78,115.96,56.55,5.51,119.42,37.38,42.12,3.45,170.62
183.55,83.38,38.66,3.923,101.33,26.65,51.01,3.89,88.95
89.14,38.24,18.38,1.863,91.11,21.41,59.95,7.14,54.23
62.58,28.08,15.95,1.265,60.32,30.68,57.87,7.64,43.4
151.57,69.81,30.69,3.576,91.12,27.13,48.21,5.67,83.84
245.43,119.34,57.67,5.692,115.99,34.94,33.27,2.64,140.34
70.65,30.94,19.36,1.537,84.24,26.3,72.42,6.59,48.37
129.86,65.58,29.49,2.866,84.38,29.02,57.75,6.39,83.65
19.65,7.01,7.11,0.685,80.61,21.6,69.1,7.36,14.66
208.28,91.47,48.96,4.428,105.55,41.96,48.39,2.37,139.7
158.68,72.67,38.33,3.486,92.71,31.5,50.46,4.11,95.62
173.41,89.39,41.52,4.151,89.91,39.5,46.07,2.97,74.9
256.03,115.67,53.6,5.67,114.96,37.66,40.98,1.77,147.37
71.05,24.26,15.2,1.405,74.47,24.93,58.8,8.22,44.21
180.79,87.41,43.34,4.01,113.14,26.61,53.96,4.0,123.57
204.53,96.58,50.51,4.726,121.47,24.44,51.14,3.1,111.39
202.76,96.35,39.37,4.236,117.46,27.63,59.53,3.29,95.77
42.51,27.18,7.84,1.064,63.21,21.52,60.27,8.37,22.84
229.87,107.86,51.06,5.187,102.7,33.86,61.5,2.89,104.03
78.28,36.9,19.62,1.801,85.13,17.61,44.02,7.08,32.85
48.21,25.29,10.34,1.012,81.05,29.15,67.97,9.17,24.46
63.59,29.89,9.84,1.13,63.74,23.28,50.96,6.49,43.2
63.93,28.92,14.03,1.35,72.94,23.85,67.16,7.3,28.08
24.57,14.92,9.29,0.758,62.32,19.47,71.44,9.19,7.37
168.19,82.34,36.97,4.097,91.63,29.49,42.17,4.38,99.08
127.86,58.39,29.96,3.121,87.95,27.26,42.5,5.04,58.14
207.81,90.83,48.17,4.544,91.57,27.4,44.4,3.34,104.41
116.39,65.2,28.2,2.547,98.52,26.49,69.81,6.12,73.37
14.72,4.82,2.58,0.214,65.58,13.26,63.71,10.64,8.59
226.43,120.36,51.96,5.365,111.96,39.36,48.41,2.23,141.41
87.31,41.37,18.75,2.045,75.41,17.9,45.67,6.62,43.12
71.45,41.57,15.94,1.239,78.9,30.27,57.92,8.61,31.18
60.37,32.87,13.48,1.398,75.28,26.21,52.43,7.72,40.03
250.48,114.52,56.43,5.606,112.64,38.62,57.23,2.92,163.18
110.5,59.87,27.77,2.63,85.2,21.45,43.12,4.06,54.65
49.95,19.12,10.76,0.97,72.73,20.84,80.29,9.61,19.28
45.06,28.63,8.82,0.936,69.21,18.98,70.3,7.4,21.07
150.9,72.24,36.02,3.401,93.71,26.53,50.83,4.95,89.5
180.88,84.41,39.72,4.043,93.63,36.18,43.84,3.65,82.29
242.13,105.46,53.66,5.348,91.31,35.84,48.12,2.43,175.64
54.76,32.15,12.8,1.193,69.44,26.19,55.76,8.82,32.51
30.32,14.3,7.35,0.404,66.5,18.3,72.46,8.23,12.06
81.53,23.76,15.62,1.704,80.36,24.87,57.37,5.89,44.2
189.87,95.95,44.04,4.345,113.59,29.99,42.82,4.61,90.97
241.88,113.27,53.8,5.227,105.17,33.32,41.54,2.03,106.17
170.01,84.23,37.17,3.86,85.49,31.55,56.64,3.89,100.57
72.15,44.09,14.59,1.786,75.32,21.77,53.29,6.41,37.69
